Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
Glean,glean.com,"Glean specializes in enterprise artificial intelligence search and knowledge discovery within the technology domain. The company offers a suite of tools that enable businesses to search and analyze their internal data, using generative ai to provide personalized and relevant information. Its solutions cater to various teams including engineering, sales, and support, helping in workplace productivity across the board. The company was founded in 2019 and is based in Palo Alto, California.",Horizontal applications,Series E,10/09/2024,615.3,"Kleiner Perkins, Lightspeed Venture Partners, Slack Fund, General Catalyst, Sequoia Capital, Adams Street Partners, Capital One Ventures, Citi Ventures, Coatue, Databricks Ventures, ICONIQ Growth, Institutional Venture Partners, Weidu Venture Capital, Workday Ventures, Plug and Play Silicon Valley summit, Altimeter Growth, Craft Ventures, DST Global, Sapphire Ventures, SoftBank",4600,260,,,,959,04/10/2023,United States,Productivity & knowledge management. Search,x, , , 
Hugging Face,huggingface.co,"Hugging Face focuses on advancing artificial intelligence through collaboration in the technology sector. It provides a platform for machine learning professionals to build, share, and collaborate on models, datasets, and applications. The company offers solutions that cater to various modalities, including text, image, video, audio, and 3D, as well as enterprise-grade services for teams requiring advanced AI tooling with enhanced security and support. It was founded in 2016 and is based in Paris, France.",Generative AI infrastructure,Series D,23/08/2023,398.92,"Betaworks, Damien Gosset, Edward Rosenblum, Matthew Vaxelaire, The Chernin Group, Thibaud Elziere, Anh-Tho Chuong, Etienne Albert, Francois Lagunas, Ludovic Huraux, Nicolas Steegmann, SV Angel, Thirty Five Ventures, Microsoft AI Factory, Ronny Conway, A.Capital, Betaworks Ventures, Greg Brockman, Lux Capital, Richard Socher, Addition, Alex Wang, Augusto Marietti, Dev Ittycheria, Florian Douetteau, Olivier Pomel, Paul St. John, Rich Kleiman, NVIDIA Inception Program, AIX Ventures, Coatue, Cygni, Sequoia Capital, AMD Ventures, Amazon, IBM Ventures, Intel Capital, NVentures, Qualcomm Ventures, Salesforce Ventures, Sound Ventures",4500,235,,,,905,04/10/2023,France,Model developer,x,x,x,x
Inflection,inflection.ai,"Inflection is an artificial intelligence(AI) studio focused on developing conversational artificial intelligence. The company offers a personal AI named Pi, designed to be supportive and empathetic, providing users with a new class of digital experiences. Inflection primarily serves individuals seeking personal AI interactions. It was founded in 2022 and is based in Palo Alto, California.",Horizontal applications,Series B,29/06/2023,1525,"Metaplanet, Greylock Partners, Demis Hassabis, Dragoneer Investment Group, Eric Schmidt, Gates Frontier, Horizons Ventures, Microsoft, Mike Schroepfer, Reid Hoffman, William James Adams Jr., NVIDIA",4000,1300,,,,869,04/10/2023,United States,AI companions,x, , , 
Moonshot AI,moonshot.cn,"Moonshot AI is an artificial intelligence company specializing in grid computing. The company offers various technological solutions. The company develops a new generation of general multimodal large models and builds consumer-side super applications on this basis. It was founded in 2023 and is based in Haidian, China.",Generative AI infrastructure,Series B - II,05/08/2024,1500,"Capital Today, HongShan, Jinfu Investment, Monolith Capital, ZhenFund, Alibaba Cloud, China Merchants China Direct Investments, Meituan, Xiaohongshu, Gaorong Capital, Tencent",3300,300,,,,709,20/02/2024,China,Model developer,x, , , 
Zhipu AI,zhipu.ai,"Zhipu AI develops artificial intelligence (AI) knowledge intelligence technology offering mobility as a service (MaaS) services. The platform develops cognitive intelligence models with the GLM model to create artificial intelligence applications such as artificial intelligence open platforms, Chinese-English bilingual model dialogue models, dialogue models, and other products. ChatGLM-6B, CodeGeeX, CogView, are the products developed by the platform. The company was founded in 2019 and is based in Haidian, China.",Generative AI infrastructure,Series C - IV,05/09/2024,414,"Tsinghua University, BOSS Zhipin, Hillhouse Capital Management, HongShan, Meituan, Shunwei Capital, TAL Education Group, Xiaomi, CAS Star, Tsinghua Holdings, Beijing Dafan, Fortune Capital, Jiangmen Venture Capital, LUSTER, Rongpin Investment, T-Capital, Tongzhi Investment, Turing AI Institute of Nanjing, Zaozhuang Tongzhi, Legend Capital, Qiming Venture Partners, Tianjin Sankuai Technology, Alibaba.com, Tencent, Ant Capital, Jinshan Capital Group, Zhongguancun Venture Capital, Beijing AI Industry Investment Fund, Prosperity7 Ventures, Zhongguancun Science City Science and Technology Fund",3000,,,,Tsinghua University,723,16/10/2023,China,Model developer,x, , , 
Baichuan AI,baichuan-ai.com,"Baichuan AI focuses on professional services in language AI, operating within the artificial intelligence industry. The company's main offerings include a large-scale language model that integrates intent understanding, information retrieval, and reinforcement learning technologies to provide performance in knowledge question-answering and text creation fields. It was founded in 2023 and is based in Haidian, China.",Generative AI infrastructure,Series A - II,25/07/2024,1038.29,"Wang Xiaochuan, Baichuan Zhongzhi, Alibaba Cloud, Shunwei Capital, Tencent, Xiaomi, Asia Investment Capital, Beijing AI Industry Investment Fund, China International Capital Corporation, Shanghai Artificial Intelligence Industry Investment Fund, Shenzhen Capital Group",2770.94,687.6,,,,708,26/10/2023,China,Model developer,x, , , 
MiniMax AI,min1max.cn,"MiniMax develops artificial intelligence large-scale model technology, infrastructure builder, and content application solutions. MiniMax engages in developing a General Artificial Intelligence (AGI) engine system. The company was founded in 2021 and is based in Shanghai, China.",Generative AI infrastructure,Seed VC - II,05/03/2024,850,"Hillhouse Capital Management, IDG Capital, miHoYo, Alibaba.com, HongShan, Tencent",2500,600,,,,707,26/10/2023,China,Model developer,x,x,x,x
Uniphore,uniphore.com,"Uniphore operates as an enterprise artificial intelligence (AI) and focuses on customer and employee experiences. The company offers various products such as conversational AI, emotion AI, generative AI, and workflow automation for interactions and processes. It caters to industries such as banking, healthcare, telecom, and more. The company was founded in 2008 and is based in Palo Alto, California.",Horizontal applications,Incubator/Accelerator - II,26/10/2022,626.63,"NVIDIA Inception Program, Ray Stata, Indian Angel Network, YourNest, Chiratae Ventures, Kris Gopalakrishnan, Stata Venture Partners, CATALYST Startup Accelerator, LumenLab, IIFL Finance, JC2 Ventures, Intuitive.VC, March Capital, National Grid Partners, Patni, Sistema Asia Fund, The CXO Fund, ITP, Iron Pillar, Patni Family, B. Riley Venture Capital, BAM Elevate, Cisco Investments, Sanabil Investments, Serena Capital, Sistema Capital, Sorenson Capital, New Enterprise Associates, AWS ISV Accelerate Program",2500,,Shareholder Liquidity,26/06/2020,,824,16/02/2024,United States,Customer support. Sales email & outreach.,x, , , 
Xaira Therapeutics,xaira.com,"Xaira Therapeutics focuses on revolutionizing drug research and development within the biopharmaceutical industry through the use of artificial intelligence. The company offers a platform designed to enhance the drug discovery process, aiming to streamline and improve the efficiency of developing new therapeutics. Xaira Therapeutics primarily serves the biopharmaceutical sector with innovative solutions to accelerate drug R&D. It was founded in 2023 and is based in San Francisco, California.",,Series A,23/04/2024,1000,"ARCH Venture Partners, Foresite Capital, WRF Capital, Byers Capital, F-Prime Capital, Lightspeed Venture Partners, Lux Capital, Menlo Ventures, NEA Partners, Parker Institute for Cancer Immunotherapy, RSquared, SV Angel, Sequoia Capital, Two Sigma Ventures",2149.17,500,,,,680,30/07/2024,United States,,,,,
Cognition AI,cognition.ai,"Cognition AI operates an applied AI lab with a focus on reasoning within the technology sector. It specializes in the development of AI software that functions as a software engineer, designed to understand and execute tasks in software development. Their current product is Devin, an AI software engineer. The company was founded in 2023 and is based in San Francisco, California.",,Series B,24/04/2024,196,"Chris Re, Elad Gil, Eric Glyman, Erik Bernhardsson, Founders Fund, Fred Ehrsam, John Collison, Karim Atiyeh, Patrick Collison, Sarah Guo, Tony Xu, Khosla Ventures",2000,175,,,,893,15/03/2024,United States,,,,,
Lightricks,lightricks.com,"Lightricks operates in content creation. It offers photo and video editing tools designed to empower creators of all skill levels to produce and share their content. It primarily serves the creator economy, providing services that enable content creators to monetize their work. The company was founded in 2013 and is based in Jerusalem, Israel.",Horizontal applications,Angel,23/02/2022,335,"Viola Ventures, ClalTech, Insight Partners, Goldman Sachs, Headline, Lightricks, Altshuler Shaham, Clal Venture Capital, Goldman Sachs Asset Management, Greycroft, Hanaco Ventures, Harel Insurance Investments & Financial Services, Migdal Insurance, Shavit Capital Fund, Charli D'Amelio, Dixie D'Amelio, Heidi D'Amelio, Marc D'Amelio",1800,,,,,,04/10/2023,Israel,Consumer social apps & tools, , , ,x
Generate Biomedicines,generatebiomedicines.com,"Generate Biomedicines is a therapeutics company that operates at the intersection of machine learning, biological engineering, and medicine. The company's main offerings include the development of novel medicines with specific therapeutic functions using a platform that applies learned rules from the study of proteins. Generate Biomedicines primarily serves the biopharmaceutical industry with its drug discovery and development processes. It was founded in 2018 and is based in Somerville, Massachusetts.",Healthcare & life sciences,Corporate Minority,24/09/2024,708,"ARCH Venture Partners, Abu Dhabi Investment Authority, Alaska Permanent Fund, Altitude Life Science Ventures, Fidelity Investments, Flagship Pioneering, Morningside Venture Partners, T. Rowe Price, Amgen, MAPS Capital, March Capital, Mirae Asset Global Investments, NVentures, Pictet Group, Novartis",1755.76,15,,,,809,04/10/2023,United States,Protein & drug design,x, , , 
H2O.ai,h2o.ai,"H2O.ai specializes in generative AI and machine learning, providing a comprehensive AI cloud platform for various industries. The company offers a suite of AI cloud products, including automated machine learning, distributed machine learning, and tools for AI-driven data extraction and processing. H2O.ai caters to sectors such as financial services, healthcare, insurance, manufacturing, marketing, retail, and telecommunications. H2O.ai was formerly known as 0xdata. It was founded in 2011 and is based in Mountain View, California.",Generative AI infrastructure,Series E - II,07/11/2021,246.12,"Cohen Circle, Nexus Venture Partners, Ash Bhardwaj, Michael Marks, Rakesh Mathur, Transamerica Ventures, Capital One Ventures, Celesta Capital, Paxion Capital Partners, Aegon, CE Innovation Capital, Crane Venture Partners, NVIDIA, New York Life Ventures, Wells Fargo Strategic Capital, GS Growth, Ping An Venture Capital, LG Technology Ventures, NVIDIA Inception Program, Commonwealth Bank of Australia, Goldman Sachs, New York Life Insurance Company, Pivot Investment Partners",1700,100,,,,786,25/01/2024,United States,LLMOps, , ,x, 
Weka,weka.io,"Weka provides a software-defined, cloud-native data platform for seamless and sustainable data management in the cloud and on-premises environments. The company offers solutions that enable organizations to store, process, and manage data with high input-output performance and low latency, catering to next-generation workloads such as AI and high-performance computing (HPC). Weka was formerly known as WekaIO. It was founded in 2013 and is based in Campbell, California.",,Series E,15/05/2024,373.2,"Celesta Capital, Gemini Israel Ventures, Norwest Venture Partners, Qualcomm Ventures, Hewlett Packard Enterprise, Mellanox Capital, NVIDIA, Seagate Technology, Western Digital Capital, Paycheck Protection Program, NVIDIA Inception Program, Cisco, Hitachi Ventures, Ibex Investors, Key 1 Capital, Micron, MoreTech Ventures, 10D Ventures, Atreides Management, Generation Investment Management, Key1 Capital, Lumir Ventures, Micron Ventures, Mirae Asset Capital, Samsung Catalyst, NVentures, Valor Equity Partners",1600,100,,,,904,23/07/2024,United States,,,,,
Harvey,harvey.ai,"Harvey serves as a generative AI company specializing in the legal sector, providing AI-driven solutions for professional services. The company offers a platform for legal workflows with domain-specific models for research, drafting, analysis, and document management. Harvey's primary clientele includes lawyers and law firms seeking to augment legal processes with AI tools. It was founded in 2022 and is based in San Francisco, California.",Legal,Series C,23/07/2024,206,"Elad Gil, Jeff Dean, OpenAI Startup Fund, Conviction Capital, SV Angel, Sequoia Capital, Kleiner Perkins, Sequoia, Google Ventures",1500,100,,,,888,04/10/2023,United States,Case search & summarization,x, , , 
Jasper,jasper.ai,"Jasper operates as an artificial intelligence (AI) content creation platform. The company's main services include the creation of on-brand AI-assisted content, language translation, and the generation of marketing campaigns. It is primarily used in the marketing and advertising industry Jasper was formerly known as Proof Technologies. It was founded in 2020 and is based in Austin, Texas.",Horizontal applications,Series A,17/10/2022,125,"Plug and Play, STV, Foundation Capital, Bossa Invest, Quarry Ventures, Liquid 2 Ventures, Bessemer Venture Partners, Coatue, Founders Circle Capital, HubSpot Ventures, Insight Partners, Institutional Venture Partners",1500,125,,,,851,04/10/2023,United States,Social media & marketing content,x, , , 
Runway,runwayml.com,"Runway is an applied AI research company that focuses on advancing creativity within the art and entertainment sectors. The company offers a suite of creative tools powered by multimodal AI systems that facilitate the generation and manipulation of audiovisual content, making it accessible and empowering for storytellers and creatives. Runway primarily sells to the creative industry, offering solutions that enhance the capabilities of filmmakers, artists, and content creators. It was founded in 2018 and is based in New York, New York.",Horizontal applications,Series C - II,04/05/2023,236.5,"Amplify Partners, Compound, Lux Capital, Caryn Marooney, David Cahn, Coatue, Felicis, Madrona Venture Group, Google, NVIDIA, Salesforce Ventures",1500,141,,,,847,04/10/2023,United States,Photo & video editing tools, , , ,x
Sakana AI,sakana.ai,"Sakana AI focuses on developing artificial intelligence through nature-inspired foundation models within the research and development sector. The company's main offering includes creating a new kind of foundation model that draws inspiration from natural intelligence, designed to advance the field of AI. It was founded in 2023 and is based in Tokyo, Japan.",Generative AI infrastructure,Series A - II,17/09/2024,167,"500 Global, Alex Wang, Basis Set, Clem Delangue, Geodesic Capital, Global Brain, JAFCO, Jeff Dean, July Fund, KDDI Open Innovation Fund, Khosla Ventures, Learn Capital, Lux Capital, Miyako Capital, NTT, Sony, Ministry of Economy Trade and Industry, NVentures, New Enterprise Associates, TransLink Capital, Dai-ichi Life Insurance, Fujitsu, ITOCHU, KDDI, Mitsubishi UFJ Financial Group, Mizuho Financial Group, NEC Orchestrating Future Fund, Nomura Holdings, SBI Group, Sumitomo Mitsui Financial Group",1500,,,,,903,16/02/2024,Japan,Research institute, , , , 
Skild AI,skild.ai,"Skild AI focuses on revolutionizing the future of physical work through the development of intelligent embodied systems within the robotics and artificial intelligence sectors. The company offers a scalable robotics foundation model known as the Skild Brain, which adapts to various hardware and tasks and is designed to work in unstructured environments with human-like adaptability. Skild AI also provides full-stack robotic solutions for tasks such as visual inspection, data collection, and patrolling. It was founded in 2023 and is based in Pittsburgh, Pennsylvania.",,Series A,09/07/2024,300,"Amazon, Bezos Expeditions, CRV, Carnegie Mellon University, Coatue, Felicis, General Catalyst, Lightspeed Venture Partners, Menlo Ventures, SV Angel, Sequoia Capital, SoftBank",1500,300,,,,644,18/10/2024,United States,,,,,
AbSci,absci.com,"AbSci operates as a generative AI drug creation company operating in the biotechnology and pharmaceutical industry. The company's main services include the use of artificial intelligence and synthetic biology to discover and create biologic-based therapeutics, with a focus on designing antibodies from scratch and optimizing drug leads. AbSci primarily sells to the biopharmaceutical industry. It was founded in 2011 and is based in Vancouver, Washington.",Healthcare & life sciences,Series F,23/03/2021,228.18,"Oregon Venture Fund, Phoenix Venture Partners, WRF Capital, AGC, Columbia Ventures, Greenbridge Investment Partners, JSR Life Sciences, KBI Biopharma, Paycheck Protection Program, ArrowMark Partners, Casdin Capital, Redmile Group, Dynamk Capital, Merck Global Health Innovation Fund, D1 Capital Partners, Fidelity Investments, Irving Investors, Perceptive Advisors, aMoon Fund, AstraZeneca",1450,125,IPO,22/07/2021,,,02/01/2024,United States,Protein & drug design,x, , , 
AI21 Labs,ai21.com,"AI21 Labs operates as an artificial intelligence (AI) lab and product company. The company offers a range of AI-powered tools, including a writing companion tool to assist users in rephrasing their writing, and an AI reader that summarizes long documents. It also provides language models for developers to create AI-powered applications. It was founded in 2017 and is based in Tel Aviv-Yafo, Israel.",Generative AI infrastructure,Series C - II,21/11/2023,317,"8VC, Pitango Venture Capital, TPY Capital, Walden Catalyst Ventures, Ahren, Amnon Shashua, Mark Leslie, Google, Heliad Equity Partners, NVIDIA, SCB 10X, Samsung NEXT, b2venture, Comcast Ventures, Intel Capital",1400,53,,,,816,04/10/2023,Israel,Model developer. API access,x, , , 
MosaicML,mosaicml.com,"MosaicML operates as a company focused on generative artificial intelligence (AI) in the technology sector. The company offers a platform for training and deploying large-scale machine learning models, with a particular emphasis on generative AI models. Its services are primarily utilized by industries such as startups, financial services, federal agencies, and life sciences. It was founded in 2021 and is based in San Francisco, California. In June 2023, MosaicML was acquired by Databricks at a valuation of $1.3B.",Generative AI infrastructure,Series A,15/07/2021,37,"Correlation Ventures, E14 Fund, Maverick Ventures, DCVC, Future Ventures, Lux Capital, Playground Global, AME Cloud Ventures, Frontline Ventures, Samsung NEXT, Databricks",1300,25,Acquired,26/06/2023,Databricks,,04/10/2023,United States,LLMOps, , ,x, 
Together AI,together.ai,"Together AI specializes in generative artificial intelligence within the tech industry. It offers services for building, training, and running AI models, including private data and dedicated GPU clusters for large-scale training. Together AI also provides custom model development and deployment solutions, leveraging research in AI to help optimize performance. The company was founded in 2022 and is based in San Francisco, California.",Generative AI infrastructure,Series A - II,13/03/2024,228.5,"A Capital Group, Alex Atallah, Cadenza Ventures, Chafic Kazoun, Chase Lochmiller, Common Metal, Dave Eisenberg, Dawn Song, Definition Capital, FactoryHQ, First Round Capital, Jakob Uszkoreit, Jeff Hammerbacher, Jennifer Campbell, Lip-Bu Tan, Long Journey Ventures, Lux Capital, Marc Bhargava, Mary-Catherine Lader, Robot Ventures, SCB 10X, SV Angel, Sabrina Hahn, Scott Banister, SongYee Yoon, Susa Ventures, Yi Sung Yong, Zach Frankel, 137 Ventures, Emergence Capital, Greycroft, Kleiner Perkins, NVentures, New Enterprise Associates, Prosperity7 Ventures, Coatue, Salesforce Ventures",1250,106,,,,853,02/01/2024,United States,Model developer,x, , , 
Codeium,codeium.com,"Codeium specializes in AI-powered coding tools within the software development industry. The company provides a suite of tools designed to streamline the coding process by offering code completion, search capabilities, and AI-driven chat assistance. These tools are integrated into various integrated development environments (IDEs) to enhance productivity for software developers. Codeium was formerly known as Exafunction. It was founded in 2021 and is based in Sacramento, California.",,Series C,29/08/2024,240,"AIX Ventures, Greenoaks, Rackhouse Ventures, base case capital, Founders Fund, Greenoaks Capital Management, General Catalyst, Kleiner Perkins",1250,150,,,,818,18/10/2024,United States,,,,,
DevRev,devrev.ai,"DevRev specializes in AI-native platforms and applications for the SaaS industry. Its main offerings include modern CRM apps for support, product, and growth teams, designed to streamline collaboration, analytics, and customer engagement. Its products are tailored to enhance the customer experience, automate product management, and provide advanced analytics for decision-making. It was founded in 2020 and is based in Palo Alto, California.",,Series A,25/07/2024,150,"Alumni Ventures, Khosla Ventures, Mayfield, Param Hansa Values",1150,100,,,,864,18/10/2024,United States,,,,,
